Recorder,EntregaLagunaGrande,EntregaLagunaChica,EvapLagunaChica,EntradaLagunaChica ,LagunaChicaStorage,EvapLagunaGrande,EntradaLagunaGrande,LagunaGrandeStorage,EvapSantaJuana,EntradaSantaJuana,rStaJuanaAbajo,InfSantaJuana,SantaJuanaStorage
2000-01,0.0,0.0,0.004113391910391363,0.0021360389737443658,3481081.4129225393,0.006904925876442922,0.004238030003580524,6958427.782920338,0.31300500031922535,2.7958670530000003,2.3278245361760317,0.027496659412689813,137688904.94103572
2000-02,0.0,0.0,0.001206923865391029,0.0009962974726657962,3480553.667432927,0.002550461468025147,0.00197769143837887,6956992.6503340565,0.2758321525649686,2.2850905170000004,2.2422632723988993,0.027584537677616913,137105940.9060364
2000-03,0.0,0.0,0.0007918380542510766,0.0005643881785497432,3479944.4656858486,0.0019239287671971124,0.001120272510702964,6954840.137416663,0.24155744315267463,1.613308753,2.0872295402539716,0.02746774690645768,135157276.403601
2000-04,0.0,0.0,0.0030014925138906376,0.00380567666735426,3482028.9110116265,0.006105878719407385,0.007552996559918618,6958591.066859268,0.14867654744060776,1.5009870999999997,1.9419513478369819,0.027077352274359447,133570028.53314634
2000-05,0.0,0.0012864771437781372,0.0005454474320273209,0.008541560548167137,3500000.0,0.0017084151122951819,0.016951132833166606,6999417.162002849,0.10631558904205804,1.3968067301437783,2.832937162541383,0.02675936369928128,129412478.42319019
2000-06,0.025522524198714355,0.012964826962092394,0.0,0.012964826962092394,3500000.0,0.0,0.025747384537121235,7000000.0,0.08911787127627266,1.6126511511608064,2.730042467858378,0.025926441847634783,126432933.91069292
2000-07,0.014466358998399955,0.007283777686248412,6.20059824238221e-11,0.007283777748254396,3500000.0,1.2315049146612487e-10,0.014466359121550408,7000000.0,0.10063479053383025,1.7359246896846485,2.951051302646609,0.025329521145111115,123267654.56053472
2000-08,0.0038401361750917914,0.001933499520327294,0.0,0.001933499520327293,3500000.0,0.0,0.003840136175091756,7000000.0,0.12677829224444223,1.6057888886954188,3.082270188572298,0.024695390402826447,119419289.31134205
2000-09,0.0033873202835819163,0.0017055077853701491,0.0,0.0017055077853701498,3500000.0,0.0,0.0033873202835819124,7000000.0,0.14952039727997876,1.617786928068952,3.2145833871616225,0.02392441051698127,115319809.93156412
2000-10,0.0,0.0,0.00447228484629087,0.00024107330832962657,3488667.123016725,0.012610751210293425,0.0004787972908361211,6967505.774622126,0.17842181190653836,2.6565396530000003,3.356812745413194,0.023103122531151734,113345845.13004671
2000-11,0.0,0.0,0.006272754134856198,0.003147056239962697,3480565.3140731608,0.012884865616473054,0.006241584719954812,6950286.390538351,0.20172355155583208,5.113562600000001,2.3090681875730583,0.022707659247708057,120424483.60465457
2000-12,0.0,0.0,0.0019339487177059472,0.0009155200714816766,3477837.554787114,0.005250376284699365,0.0018154878354876554,6941086.385315982,0.2563242374735852,10.782204053000001,2.446641783080263,0.024125790721646848,142345524.96568948
2001-01,0.0,0.0,0.0034770378521174865,0.002683223670164696,3475711.4028821713,0.007771530936504446,0.005317990949506281,6934514.823814806,0.32462497052501327,8.457145053,6.239617927099793,0.028517442987419584,147732182.9985489
2001-02,0.0,0.0,0.006280120569718755,0.007075297848641041,3477635.09575534,0.012505984619784416,0.014018116342754315,6938172.972879014,0.2959518492580226,7.891472719,8.112024839638787,0.029596603806713487,146675450.85864532
2001-03,0.0,0.0016834696948623148,0.0035231113973382545,0.013556679749854373,3500000.0,0.00910947920647335,0.026858825056562948,6985712.820803894,0.2584172986855614,7.353813522694863,7.344631203135526,0.029384898531398803,146190569.72072715
2001-04,0.0,0.0,0.00519133461721746,0.0024793882231760847,3492970.634946645,0.012234564468587344,0.00491427865315884,6966738.639970303,0.16081345934752855,5.867426999999999,5.693278676603656,0.029287757646853332,146469686.92452103
2001-05,0.0,0.002260359635203789,0.0007438839057927005,0.005628707793294597,3500000.0,0.001403381693717488,0.011148484844308425,6992839.924248845,0.11658312282475837,4.874333923635205,4.731039544630291,0.02934367587082222,146780637.32682154
2001-06,0.0,0.0012514671676289405,0.0,0.0012514671676289416,3500000.0,0.0015674938537921389,0.002483004825485365,6995212.928687474,0.10107818119645037,4.414832907167629,4.279779678479004,0.029405971544477275,147102232.14767796
2001-07,0.00730785235286223,0.0048732621511895025,0.0,0.004873262151189502,3500000.0,0.0005770591072084288,0.009672199136491724,7000000.0,0.11708659968056348,3.828975431504052,3.7748048194431942,0.029470399716497665,147146694.96079665
2001-08,0.011073648107713711,0.006507519734084573,0.0,0.0065075197340845724,3500000.0,0.0018509798418974196,0.012924627949611028,7000000.0,0.15133740284952457,3.736471219841798,3.714515963098406,0.029479307377897477,147021554.34490502
2001-09,0.007873235177459416,0.005018569705113334,6.20059824238221e-11,0.005018569767119318,3500000.0,0.002094179402852586,0.009967414580312096,7000000.0,0.18408015439665107,3.5965090348825726,3.7925917577509276,0.02945423675920426,146295897.72935426
2001-10,4.8827573343462264e-05,0.0027516853066751634,0.0009739479318573139,0.003725633238532481,3500000.0,0.007350677223012161,0.0073995047963554845,7000000.0,0.2263477468689493,4.0211795018800185,4.386693596700527,0.02930885901608659,144920780.38346455
2001-11,0.0,2.0559685641206603e-19,0.006768085116308727,0.0009519852753535176,3484924.669212244,0.01315172681235631,0.001890744246691565,6970811.533189797,0.257918007313403,4.581982990000001,5.046077891346062,0.029033368581653368,143214761.29365557
2001-12,0.0,0.0,0.008090932350486814,0.01052213165812299,3491436.3934378168,0.01477108805668401,0.020900960223466415,6987229.782801307,0.30483348057420206,5.907429053,6.317500165446317,0.02869158543012259,141352364.83809337
2002-01,0.0,4.1119371282413203e-20,0.003946252299349156,0.0018657174464636645,3485863.8888878482,0.010291684753693431,0.0037078258227694815,6969595.57504072,0.3223600269855151,4.868001612,5.341319296421207,0.028318473702484723,139272822.44149688
2002-02,0.0,3.372199638870707e-16,0.001439305350881837,0.0007229681911998755,3484130.926031145,0.003395631261438498,0.001435452755466394,6964853.511199073,0.2790052141404428,4.7236779769999995,5.081320577926664,0.027901859047762302,137851577.0986782
