"Transmission Link","Transmission Link from AC1 to EVT1","Transmission Link from AC2 to EVT2","Transmission Link from Embalse Santa Juana to DDAEmbalse","Transmission Link from Withdrawal Node 1 to CanalZR1_1","Transmission Link from Withdrawal Node 16 to CanalZR4_2","Transmission Link from Withdrawal Node 17 to CanalZR4_1","Transmission Link from Withdrawal Node 2 to CanalZR1_2","Transmission Link from Withdrawal Node 22 to CanalZR5","Transmission Link from Withdrawal Node 23 to ZR5_notec","Transmission Link from Withdrawal Node 24 to ZR5_tec","Transmission Link from Withdrawal Node 29 to CanalZR8","Transmission Link from Withdrawal Node 7 to CanalZR2_1","All Others (59)"
"1 Mar 1999",2.37507,2.5288,0.728083,0.445121,0.705367,0.359718,0.242231,2.68633,1.31743,0.677929,0.893295,1.01659,4.95957
"1 Apr 1999",2.36237,2.46472,0.682071,0.419238,0.728874,0.3388,0.228146,2.50042,1.03107,0.530574,0.84135,0.957476,4.02006
"1 May 1999",1.93912,2.11452,0.455261,0.369654,0.570754,0.29873,0.201163,2.20469,0.805002,0.41424,0.741842,0.844234,2.72888
"1 Jun 1999",1.75954,1.93936,0.380635,0.361301,0.523406,0.291979,0.196617,2.15487,0.63489,0.326704,0.725079,0.825157,2.51465
"1 Jul 1999",1.52155,1.6587,0.285767,0.326975,0.512697,0.26424,0.177937,1.95015,0.67522,0.347457,0.656192,0.746762,2.78785
"1 Aug 1999",1.36669,1.48127,0.308813,0.562355,0.53289,0.261842,0.414,1.93245,0.803034,0.413228,0.650238,1.46868,2.90807
"1 Sep 1999",1.36724,1.43326,0.393926,0.569858,0.508104,0.264916,0.4278,2.08917,1.03298,0.531553,0.657872,1.44061,3.49031
"1 Oct 1999",1.35404,1.38303,0.440029,0.534511,0.547759,0.263809,0.414,2.14164,1.05982,0.5454,0.655124,1.38893,4.15174
"1 Nov 1999",1.4854,1.52087,0.615118,0.599023,0.4027,0.322121,0.4278,1.49066,0.708118,0.364448,0.448047,1.48532,4.80901
"1 Dec 1999",1.76342,1.93616,0.725702,0.760761,0.451666,0.391535,0.414,1.43617,0.707504,0.364128,0.433746,1.73746,5.58204
"1 Jan 2000",2.17994,2.36066,0.87885,0.760761,0.527565,0.280867,0.414,1.42188,0.679211,0.378174,0.426113,1.73746,5.44953
"1 Feb 2000",2.20131,2.28497,0.882004,0.813228,0.509816,0.240954,0.442552,1.41414,0.680172,0.367577,0.428408,1.85729,5.05542
"1 Mar 2000",1.71126,1.85208,0.726225,0.715268,0.475668,0.183587,0.414,1.33595,0.65164,0.345182,0.410235,1.72826,4.28444
"1 Apr 2000",1.48093,1.6715,0.668295,0.646348,0.416339,0.163587,0.4278,1.30927,0.642573,0.330737,0.40624,1.59771,3.44441
"1 May 2000",1.25415,1.45839,0.450926,0.578711,0.471893,0.258153,0.414,1.90523,0.553097,0.284615,0.641078,1.4791,2.54937
"1 Jun 2000",1.31825,1.46617,0.268792,0.654759,0.342804,0.298777,0.4278,2.20504,0.235649,0.121261,0.741959,1.61728,2.31253
"1 Jul 2000",1.39199,1.41569,0.0784115,0.680957,0.508227,0.311087,0.414,2.29589,0.545498,0.280704,0.77253,1.6393,2.73437
"1 Aug 2000",1.62414,1.44072,0.236443,0.721202,0.601664,0.305554,0.414,2.25506,0.858143,0.441586,0.758789,1.60542,3.16131
"1 Sep 2000",2.04179,1.61072,0.398693,0.78612,0.728904,0.303859,0.4278,2.24255,1.06794,0.549545,0.75458,1.79538,3.87939
"1 Oct 2000",2.42203,2.03916,0.43516,0.760761,0.546099,0.293135,0.414,2.46457,1.19332,0.657818,0.727949,1.73746,4.49655
"1 Nov 2000",3.03864,3.01915,0.645259,0.78612,0.47842,0.313873,0.4278,1.72717,0.821149,0.422569,0.519514,1.79538,4.96616
"1 Dec 2000",4.10211,4.39589,0.70639,0.760761,0.51557,0.385934,0.414,1.64522,0.809785,0.416779,0.499244,1.73746,5.76835
"1 Jan 2001",4.5852,5.14854,0.908194,0.601762,0.705393,0.486304,0.327474,3.59699,1.7195,0.884825,1.52674,1.37433,6.49786
"1 Feb 2001",4.55686,5.07243,0.941401,0.784913,0.780971,0.634314,0.427143,5.02348,1.59462,0.820566,1.69032,1.82293,6.59743
"1 Mar 2001",3.97137,4.27675,0.721575,0.718615,0.705393,0.580737,0.391064,4.53734,1.30136,0.669659,1.52674,1.64121,5.42473
"1 Apr 2001",3.5841,3.9294,0.660496,0.5822,0.728906,0.470496,0.316829,3.47236,1.03452,0.532349,1.16839,1.32966,4.56547
"1 May 2001",2.71875,3.14989,0.474486,0.487876,0.675317,0.394269,0.265498,2.90979,0.796674,0.409955,0.979098,1.11424,3.11188
"1 Jun 2001",2.33137,2.74399,0.38489,0.446752,0.609878,0.361035,0.243119,2.66452,0.679283,0.349547,0.896567,1.02031,2.85839
"1 Jul 2001",1.97136,2.27987,0.304958,0.395292,0.554441,0.319448,0.215114,2.3576,0.669692,0.344612,0.793293,0.902787,2.63856
"1 Aug 2001",1.94475,2.08213,0.309317,0.399932,0.553458,0.323199,0.21764,2.38528,0.684912,0.352444,0.802607,0.913385,2.58496
