Runoff/Infiltration Link,QuebCam,QuebCam2
1 Apr 2014,0.0973368,0.0973368
01-may-14,0.0975523,0.0975523
01-jun-14,0.120198,0.120198
01-jul-14,0.131147,0.131147
1 Aug 2014,0.130355,0.130355
01-sept-14,0.140307,0.140307
01-oct-14,0.14101,0.14101
01-nov-14,0.139175,0.139175
1 Dec 2014,0.128336,0.128336
1 Jan 2015,0.122445,0.122445
01-feb-15,0.129024,0.129024
01-mar-15,0.174074,0.174074
1 Apr 2015,0.239095,0.239095
01-may-15,0.214716,0.214716
01-jun-15,0.205994,0.205994
01-jul-15,0.226038,0.226038
1 Aug 2015,0.343541,0.343541
01-sept-15,0.451397,0.451397
01-oct-15,0.446498,0.446498
01-nov-15,0.450586,0.450586
1 Dec 2015,0.409789,0.409789
1 Jan 2016,0.385506,0.385506
01-feb-16,0.387284,0.387284
01-mar-16,0.338686,0.338686
1 Apr 2016,0.3512,0.3512
01-may-16,0.439908,0.439908
01-jun-16,0.599008,0.599008
01-jul-16,0.620792,0.620792
1 Aug 2016,0.592499,0.592499
01-sept-16,0.570231,0.570231
01-oct-16,0.512213,0.512213
01-nov-16,0.493877,0.493877
1 Dec 2016,0.468421,0.468421
1 Jan 2017,0.45905,0.45905
01-feb-17,0.476988,0.476988
01-mar-17,0.402106,0.402106
1 Apr 2017,0.385382,0.385382
01-may-17,0.632434,0.632434
01-jun-17,1.04009,1.04009
01-jul-17,1.04345,1.04345
1 Aug 2017,1.01141,1.01141
01-sept-17,1.00396,1.00396
01-oct-17,0.901184,0.901184
01-nov-17,0.861632,0.861632
1 Dec 2017,0.775414,0.775414
1 Jan 2018,0.722308,0.722308
01-feb-18,0.74468,0.74468
01-mar-18,0.625657,0.625657
1 Apr 2018,0.600367,0.600367
01-may-18,0.539811,0.539811
01-jun-18,0.545664,0.545664
01-jul-18,0.526292,0.526292
1 Aug 2018,0.504884,0.504884
01-sept-18,0.491647,0.491647
01-oct-18,0.444321,0.444321
01-nov-18,0.429865,0.429865
1 Dec 2018,0.391779,0.391779
1 Jan 2019,0.369522,0.369522
01-feb-19,0.384919,0.384919
01-mar-19,0.325304,0.325304
