Date,ZONE_1,ZONE_2,ZONE_3,ZONE_4
2001-12-01,0.0,0.0,45.51530075073242,118881.248046875
2002-01-01,0.0,0.0,45.96628952026367,118387.341796875
2002-02-01,0.0,0.0,45.91332244873047,118234.873046875
2002-03-01,0.0,0.0,42.58336639404297,115408.171875
2002-04-01,0.0,0.0,38.528953552246094,112799.3671875
2002-05-01,0.0,0.0,34.49885177612305,112271.23046875
2002-06-01,0.0,0.0,31.78951644897461,110196.3515625
2002-07-01,0.0,0.0,31.552385330200195,111359.96484375
2002-08-01,0.0,0.0,33.54891586303711,113460.833984375
2002-09-01,0.0,0.0,37.66213607788086,116391.00390625
2002-10-01,0.0,0.0,42.42506408691406,119041.384765625
2002-11-01,0.0,0.0,47.48554229736328,120289.341796875
2002-12-01,0.0,0.0,50.94236373901367,111830.4453125
2003-01-01,0.0,0.0,51.81770706176758,113239.177734375
2003-02-01,0.0,0.0,52.1579475402832,114447.859375
2003-03-01,0.0,0.0,49.024559020996094,120471.53515625
2003-04-01,0.0,0.0,44.87009048461914,116575.70703125
2003-05-01,0.0,0.0,40.0692253112793,112543.451171875
2003-06-01,0.0,0.0,37.28044128417969,110686.65234375
2003-07-01,0.0,0.0,36.27543258666992,110522.048828125
2003-08-01,0.0,0.0,37.28468704223633,112405.537109375
2003-09-01,0.0,0.0,40.44919204711914,116499.51953125
2003-10-01,0.0,0.0,44.083900451660156,120182.490234375
2003-11-01,0.0,0.0,48.249942779541016,122989.765625
2003-12-01,0.0,0.0,50.630165100097656,123634.564453125
2004-01-01,0.0,0.0,50.54109573364258,122972.787109375
2004-02-01,0.0,0.0,50.069915771484375,122391.8828125
2004-03-01,0.0,0.0,46.344173431396484,118933.037109375
2004-04-01,0.0,0.0,42.12778091430664,114434.908203125
2004-05-01,0.0,0.0,37.533634185791016,110971.578125
2004-06-01,0.0,0.0,34.876686096191406,109715.09375
2004-07-01,0.0,0.0,34.10074234008789,111812.025390625
2004-08-01,0.0,0.0,35.32685470581055,113061.18359375
2004-09-01,0.0,0.0,39.192378997802734,116860.142578125
2004-10-01,0.0,0.0,43.69762420654297,120106.91796875
2004-11-01,0.0,0.0,48.50244903564453,123557.2578125
2004-12-01,0.0,0.0,51.51088333129883,124813.58203125
2005-01-01,0.0,0.0,52.15227508544922,124194.70703125
2005-02-01,0.0,0.0,52.27894592285156,124098.47265625
2005-03-01,0.0,0.0,49.067447662353516,120584.84375
2005-04-01,0.0,0.0,44.67723083496094,117298.80078125
2005-05-01,0.0,0.0,39.686134338378906,113639.322265625
2005-06-01,0.0,0.0,36.66716766357422,112300.130859375
2005-07-01,0.0,0.0,35.49467849731445,112608.865234375
2005-08-01,0.0,0.0,36.4005241394043,114631.369140625
2005-09-01,0.0,0.0,40.068809509277344,118336.5625
2005-10-01,0.0,0.0,44.39543151855469,121615.943359375
2005-11-01,0.0,0.0,49.036624908447266,125070.705078125
2005-12-01,0.0,0.0,51.91535568237305,126032.265625
2006-01-01,0.0,0.0,52.45737075805664,125174.15625
2006-02-01,0.0,0.0,52.51176452636719,124973.193359375
2006-03-01,0.0,0.0,49.26295471191406,121391.74609375
2006-04-01,0.0,0.0,44.81468200683594,118011.0546875
2006-05-01,0.0,0.0,39.78144836425781,114333.060546875
2006-06-01,0.0,0.0,36.719688415527344,112953.353515625
2006-07-01,0.0,0.0,35.51181411743164,113108.9296875
2006-08-01,0.0,0.0,36.36565017700195,114573.84375
2006-09-01,0.0,0.0,39.975547790527344,118362.6484375
2006-10-01,0.0,0.0,44.271141052246094,121633.921875
2006-11-01,0.0,0.0,48.87797546386719,125110.990234375
2006-12-01,0.0,0.0,51.747379302978516,126439.0859375
2007-01-01,0.0,0.0,52.27693557739258,125834.17578125
2007-02-01,0.0,0.0,52.315616607666016,125761.072265625
2007-03-01,0.0,0.0,49.03526306152344,122237.115234375
2007-04-01,0.0,0.0,44.5773811340332,118896.521484375
2007-05-01,0.0,0.0,39.561710357666016,115253.306640625
2007-06-01,0.0,0.0,36.48808670043945,114016.392578125
2007-07-01,0.0,0.0,35.26019287109375,113975.92578125
2007-08-01,0.0,0.0,36.096527099609375,115505.625
2007-09-01,0.0,0.0,39.69330596923828,119351.04296875
2007-10-01,0.0,0.0,43.978458404541016,122681.388671875
2007-11-01,0.0,0.0,48.54988479614258,126189.912109375
2007-12-01,0.0,0.0,51.44175720214844,127547.6328125
2008-01-01,0.0,0.0,51.97190856933594,126947.08203125
2008-02-01,0.0,0.0,52.010868072509766,126891.98046875
2008-03-01,0.0,0.0,48.704505920410156,123366.275390625
2008-04-01,0.0,0.0,44.25337600708008,120023.40234375
2008-05-01,0.0,0.0,39.2884407043457,116625.177734375
2008-06-01,0.0,0.0,36.24044418334961,115649.013671875
2008-07-01,0.0,0.0,35.069766998291016,116244.65234375
2008-08-01,0.0,0.0,35.946224212646484,117627.79296875
2008-09-01,0.0,0.0,39.566078186035156,121621.1796875
2008-10-01,0.0,0.0,43.86672592163086,124879.82421875
2008-11-01,0.0,0.0,48.438533782958984,128400.869140625
2008-12-01,0.0,0.0,51.35525131225586,129663.638671875
2009-01-01,0.0,0.0,51.9009895324707,129020.69140625
2009-02-01,0.0,0.0,51.952293395996094,128918.771484375
2009-03-01,0.0,0.0,48.656455993652344,125335.01171875
2009-04-01,0.0,0.0,44.223899841308594,121943.1875
2009-05-01,0.0,0.0,39.26256561279297,118266.880859375
2009-06-01,0.0,0.0,36.207916259765625,116914.431640625
2009-07-01,0.0,0.0,35.00914001464844,117062.849609375
2009-08-01,0.0,0.0,35.873626708984375,118555.986328125
2009-09-01,0.0,0.0,39.49456787109375,122419.279296875
2009-10-01,0.0,0.0,43.804134368896484,125771.58203125
2009-11-01,0.0,0.0,48.38630294799805,129277.2578125
2009-12-01,0.0,0.0,51.31928253173828,130559.521484375
2010-01-01,0.0,0.0,51.87568664550781,129929.810546875
2010-02-01,0.0,0.0,51.933021545410156,129841.6015625
2010-03-01,0.0,0.0,48.638248443603516,126264.853515625
2010-04-01,0.0,0.0,44.20679473876953,122925.70703125
2010-05-01,0.0,0.0,39.33053207397461,121385.724609375
2010-06-01,0.0,0.0,36.336849212646484,119625.05859375
2010-07-01,0.0,0.0,35.14143371582031,119678.970703125
2010-08-01,0.0,0.0,36.02714920043945,121429.947265625
2010-09-01,0.0,0.0,39.67238235473633,125425.830078125
2010-10-01,0.0,0.0,43.99641036987305,128684.634765625
2010-11-01,0.0,0.0,48.61248779296875,132102.033203125
2010-12-01,0.0,0.0,51.52339172363281,133308.51953125
2011-01-01,0.0,0.0,52.083900451660156,132608.603515625
2011-02-01,0.0,0.0,52.14799118041992,132450.02734375
2011-03-01,0.0,0.0,48.884315490722656,128782.869140625
2011-04-01,0.0,0.0,44.46286392211914,125306.615234375
2011-05-01,0.0,0.0,39.486019134521484,121548.958984375
2011-06-01,0.0,0.0,36.502201080322266,121295.705078125
2011-07-01,0.0,0.0,35.42917251586914,122407.318359375
2011-08-01,0.0,0.0,36.38121795654297,123631.46875
2011-09-01,0.0,0.0,40.051856994628906,127434.4921875
2011-10-01,0.0,0.0,44.388763427734375,130800.49609375
2011-11-01,0.0,0.0,49.05355453491211,134143.87109375
2011-12-01,0.0,0.0,51.955780029296875,135326.109375
2012-01-01,0.0,0.0,52.52414321899414,134579.291015625
2012-02-01,0.0,0.0,52.612571716308594,134393.802734375
2012-03-01,0.0,0.0,49.41041564941406,130665.3671875
2012-04-01,0.0,0.0,45.00555419921875,127342.47265625
2012-05-01,0.0,0.0,39.981224060058594,123483.71875
2012-06-01,0.0,0.0,36.960872650146484,122052.748046875
2012-07-01,0.0,0.0,35.77750778198242,121925.853515625
2012-08-01,0.0,0.0,36.67594528198242,123453.240234375
2012-09-01,0.0,0.0,40.31404113769531,127308.130859375
2012-10-01,0.0,0.0,44.638816833496094,130627.28125
2012-11-01,0.0,0.0,49.295936584472656,134054.716796875
2012-12-01,0.0,0.0,52.169952392578125,135308.890625
2013-01-01,0.0,0.0,52.712039947509766,134593.650390625
2013-02-01,0.0,0.0,52.773460388183594,134441.775390625
2013-03-01,0.0,0.0,49.54974365234375,130743.142578125
2013-04-01,0.0,0.0,45.097755432128906,127255.099609375
2013-05-01,0.0,0.0,40.07908248901367,124514.978515625
2013-06-01,0.0,0.0,37.058231353759766,122925.931640625
