Date,03022001-3,03041002-5,03041005-K,03404001-K,03414001-4,03421001-2,03430001-1,03430003-8,03431001-7,03453001-7,03802001-3,03804002-2,03806001-5,03814003-5,03815002-2,03820001-1,03820003-8,04301002-6,04302001-3,04308001-6
2001-07-01,0.6559032258064516,0.01316129032258064,0.2894516129032258,0.5044193548387097,1.401612903225806,0.5451935483870968,2.233,2.561290322580645,1.745161290322581,0.1723181818181818,1.735806451612903,3.386129032258065,4.509677419354839,2.340967741935484,2.822240974979565,5.280645161290322,3.803225806451613,0.41,0.5615483870967742,3.791935483870968
2001-08-01,0.7578387096774193,0.01693548387096774,0.2772580645161291,0.5666774193548387,1.348838709677419,0.5309999999999999,3.004064516129032,2.41741935483871,1.740645161290323,0.155258064516129,1.688709677419355,2.531935483870968,4.11483870967742,2.249354838709678,3.520831964001428,4.632258064516129,3.570967741935484,0.41,0.5667096774193549,3.745161290322581
2001-09-01,0.7065666666666667,0.01146666666666667,0.2589,0.6638666666666667,1.1103,0.3600666666666666,2.5262,1.793,1.743666666666667,0.1636666666666667,1.6,2.988928571428571,3.8336,2.284666666666667,3.536445277536399,4.504,4.161333333333333,0.41,0.6088333333333333,3.774666666666667
2001-10-01,0.7129599999999999,0.005806451612903225,0.2641612903225806,0.5802903225806452,0.8047096774193548,0.3306129032258064,0.2885806451612903,1.288548387096774,1.676129032258065,0.1524516129032258,1.639032258064516,3.016351080893895,3.257777777777778,2.275806451612903,1.924892932981629,3.999354838709678,4.533225806451613,0.4091612903225806,0.6819032258064516,3.558387096774194
2001-11-01,0.5940891519784361,0.0113,0.2600333333333333,0.4718,0.7677333333333334,0.3046333333333333,0.6896666666666668,1.121266666666667,1.676666666666667,0.1471333333333333,1.635666666666667,2.840952380952381,2.549666666666667,2.260666666666666,2.097990443014033,3.257,4.484666666666667,1.805333333333333,0.6064333333333334,4.927666666666667
2001-12-01,0.6096774193548387,0.01174193548387097,0.2743548387096774,0.4819677419354839,1.233548387096774,0.2278387096774193,0.7900322580645162,1.442258064516129,1.889032258064516,0.1218064516129032,1.790322580645161,3.563628014303121,2.895161290322581,2.43483870967742,1.59644255483941,3.865806451612903,4.688709677419355,1.792709677419355,0.6937741935483871,7.255806451612903
2002-01-01,0.535483870967742,0.00964516129032258,0.2788709677419355,0.3175483870967742,1.531935483870968,0.2161290322580645,0.5892903225806452,1.620645161290323,1.870322580645161,0.08470967741935484,1.777096774193548,3.140322580645161,2.742258064516129,2.482258064516129,2.078627202430514,4.818709677419355,4.93258064516129,3.96,0.5405483870967742,7.159677419354838
2002-02-01,0.5651428571428572,0.009142857142857144,0.2914642857142857,0.2255,1.791785714285714,0.2495,0.7363928571428572,2.13,1.8725,0.04714285714285715,1.710357142857143,3.161785714285714,2.661071428571429,2.423214285714285,2.083268578166583,4.659642857142857,5.019285714285714,4.879642857142857,0.5111785714285715,7.677142857142857
2002-03-01,0.5910322580645161,0.008064516129032258,0.2920645161290323,0.2073870967741936,1.680322580645161,0.3504516129032259,0.678516129032258,2.016451612903226,1.93258064516129,0.04883870967741936,1.606129032258065,2.432258064516129,2.829354838709677,2.350322580645161,1.997624267412592,5.282258064516129,4.794516129032258,1.526645161290323,0.5562903225806451,4.349032258064516
2002-04-01,0.6603333333333334,0.03356242000486691,0.2999,0.5270666666666667,1.451666666666667,0.4377,0.3730666666666667,2.262666666666667,1.831,0.0914,1.515666666666667,2.885666666666666,3.58,2.662666666666667,3.385094832859572,9.422333333333334,4.841666666666667,0.5535,0.524,3.372
2002-05-01,0.7044838709677419,0.03420967741935484,0.2984516129032257,0.6903870967741936,1.768709677419355,0.4662580645161291,0.05932258064516129,2.880967741935484,1.748709677419355,0.1213870967741935,1.738387096774194,3.829677419354839,4.835806451612903,3.159677419354839,3.684708152185366,5.46,3.905387096774194,0.360516129032258,0.5823225806451613,3.64741935483871
2002-06-01,0.5932999999999999,0.0344,0.2926666666666666,0.8060333333333334,1.720333333333333,0.4988,0.2220333333333333,3.299666666666667,1.79,0.1675666666666667,1.838333333333333,3.755666666666667,4.398333333333333,3.193333333333333,3.201791848119434,7.382666666666666,5.876666666666667,0.399,0.5250333333333334,4.201
2002-07-01,0.6052580645161291,0.03638709677419354,0.2932903225806452,0.7552903225806452,1.463870967741935,0.4950322580645161,0.08161290322580644,2.603548387096774,1.862903225806452,0.1665806451612903,1.856129032258065,3.493870967741936,4.203548387096775,3.119032258064516,3.141502851017332,7.664193548387097,7.26,0.399,0.5757096774193549,4.529354838709677
2002-08-01,0.6884838709677419,0.03741935483870968,0.3095806451612903,0.7907096774193548,1.364516129032258,0.7636774193548387,0.03535483870967742,3.643225806451613,2.004516129032258,0.1616451612903226,2.002258064516129,4.056129032258064,4.714838709677419,4.32258064516129,3.128225859217356,8.801935483870968,11.10967741935484,0.9622903225806453,0.6243548387096775,6.593870967741935
2002-09-01,0.8322666666666667,0.04013333333333333,0.3169333333333333,0.8534666666666666,1.361,1.46,0.07396666666666667,3.244333333333333,1.959,0.1636333333333333,2.050333333333333,4.251333333333333,4.728666666666667,4.731333333333334,2.851981478424099,9.154,13.19333333333333,2.160000000000001,0.7338333333333333,8.245
2002-10-01,0.8283225806451613,0.03619354838709678,0.330258064516129,0.8101935483870968,1.496451612903226,1.953548387096774,0.9576451612903225,4.504516129032258,2.186451612903226,0.1342258064516129,3.223225806451613,8.324838709677419,7.486774193548388,8.850000000000001,8.106094907369839,18.79677419354839,14.6822499424967,2.498709677419355,1.36741935483871,12.9
2002-11-01,0.7504666666666666,0.0223,0.2931,1.0417,2.629666666666667,2.504333333333333,1.249666666666667,6.930333333333333,2.577,0.134,4.5668,15.42,13.29966666666667,11.89433333333333,23.47967148548061,31.45666666666667,13.31567237397182,5.517333333333334,2.170333333333333,20.29
2002-12-01,0.6716129032258065,0.01804838709677419,0.2772258064516129,1.222258064516129,4.601290322580645,2.276451612903226,2.456451612903226,7.426451612903226,3.981290322580645,0.1058064516129032,6.014150000698369,16.36129032258064,15.56451612903226,12.81612903225806,7.619235051057902,26.18709677419355,32.86129032258064,11.39129032258064,1.89483870967742,28.34838709677419
2003-01-01,0.6114838709677419,0.017,0.2820645161290323,1.074193548387097,6.622258064516129,1.930967741935484,2.600322580645161,6.631290322580645,4.9,0.07370967741935484,5.966451612903226,12.73225806451613,12.8258064516129,11.80903225806452,8.312470625146542,25.92903225806451,32.19354838709678,9.937096774193549,1.719677419354839,25.36451612903226
