Date,Q_AguaV  2 \ Reach,Q_AguaV  4 \ Reach,Q_AS1  2 \ Reach,Q_AS2  2 \ Reach,Q_Cam  2 \ Reach,Q_Chanch  2 \ Reach,Q_DelP  2 \ Reach,Q_Honda  2 \ Reach,Q_Mait  2 \ Reach,Q_S_N_2  2 \ Reach,Q_S_N_3  2 \ Reach,Q_S_N_5  2 \ Reach,Q_S_N_6  2 \ Reach,Q_S_N_7  2 \ Reach,Q_S_N1  2 \ Reach
2001-02-01,6781.00032,22214.1312,4129.07328,4129.07328,24742.886400000003,80214.9696,2421.3513599999997,19677.427200000002,15433.1136,7666.92864,1579.62528,3228.75936,3293.8099199999997,6566.996160000001,9490.6944
2001-03-01,5916.35232,19204.2144,3545.57952,3545.57952,21539.2608,78277.4496,4027.7433600000004,17795.2896,13287.887999999999,6684.552000000001,2574.70272,3582.1267199999998,2858.56992,5633.3232,8104.4496
2001-04-01,5746.031999999999,18695.3184,3465.0374399999996,3465.0374399999996,21302.4384,65331.0144,1880.9020799999998,17123.2704,12949.2864,6552.169919999999,1384.66368,2708.0006399999997,2783.02176,5415.370559999999,7877.32992
2001-05-01,5238.164159999999,16948.656,3139.1279999999997,3139.1279999999997,19188.3168,53026.444800000005,1588.3776,15437.7792,11710.483199999999,5951.3184,1192.2336,2406.2745600000003,2507.92416,4796.25408,7125.64128
2001-06-01,5101.099200000001,16412.543999999998,3038.87808,3038.87808,18457.631999999998,46484.6688,1434.27456,14866.5024,11311.401600000001,5772.470399999999,1134.65664,2306.48256,2412.288,4534.16832,6887.16864
2001-07-01,4652.00064,14884.387200000001,2755.70208,2755.70208,16621.9776,38594.188799999996,1213.60896,13403.8368,10232.351999999999,5247.90144,1014.97536,2075.00832,2171.88864,4012.32096,6234.131520000001
2001-08-01,5324.26176,15545.088,2810.82528,2810.82528,16992.4608,33508.425599999995,12053.491199999999,15229.814400000001,10220.8608,5384.38752,7668.74304,7819.0617600000005,2175.5952,4016.4163200000003,6668.51616
2001-09-01,5449.49856,16035.839999999998,3007.5667200000003,3007.5667200000003,18291.0528,30465.936,4448.23488,15051.6576,10586.3328,5695.76448,3222.27936,3883.4035200000003,2241.2592,4167.03744,7537.6656
2001-10-01,5085.00288,14934.0672,2800.63008,2800.63008,17003.8656,39442.5504,2295.3024,13704.422400000001,9848.9952,5381.7091199999995,1787.37408,2603.55168,2075.22432,3826.70784,7206.84
2001-11-01,5016.49632,14720.2272,2758.5964799999997,2758.5964799999997,16648.3296,46666.6272,1585.3276799999999,13397.9616,9703.7568,5361.1632,1214.23104,2160.93312,2034.18432,3707.8992000000003,7154.6975999999995
2001-12-01,4654.16064,13622.688,2548.31616,2548.31616,15553.296,44487.44640000001,1426.1961600000002,12454.3872,8968.4928,5016.7728,1077.22656,1947.17952,1884.0988799999998,3400.64352,6601.41792
2002-01-01,4460.3568,13023.2448,2431.5638400000003,2431.5638400000003,15030.3168,38660.0256,1242.71712,11887.0848,8562.870719999999,4837.93344,974.5487999999999,1861.4016000000001,1801.21536,3221.13024,6277.97088
2002-02-01,4723.64352,13752.633600000001,2563.8336,2563.8336,15798.758399999999,37826.4384,1249.3958400000001,12520.7424,9028.9728,5135.50368,1018.0252800000001,1966.5072,1895.4432,3351.10176,6597.17568
2002-03-01,4053.29184,11764.0512,2190.36096,2190.36096,13446.9504,30230.928,1008.78912,10676.6208,7710.776639999999,4409.8992,861.309504,1676.1340799999998,1614.8678400000001,2817.31392,5618.0304
2002-04-01,4476.63456,13056.163199999999,2376.69984,2376.69984,14929.574400000001,27699.84,7389.169919999999,12955.68,8579.53728,4779.967680000001,4905.56736,8191.368,1784.69568,3179.49408,5731.76736
2002-05-01,8235.48384,20633.8752,3355.3526399999996,3355.3526399999996,23486.2848,23926.2336,54770.688,28647.302400000004,12398.4,7105.1904,28560.816,28992.297599999998,2982.33792,6087.41568,8482.35456
2002-06-01,9253.008,26115.091200000003,4655.26656,4655.26656,35028.9792,22225.363200000003,31246.732799999998,31448.9952,16862.0832,9689.9328,16439.9328,15886.1088,4173.73344,9178.7904,12486.4416
2002-07-01,12949.2864,33778.8576,5372.2224,5372.2224,42434.1504,19463.5872,65249.0208,45515.520000000004,20829.5712,12672.1152,31492.886400000003,27599.9616,5698.157760000001,13302.057600000002,14267.0592
2002-08-01,20347.9776,48134.5632,6942.70656,6942.70656,54904.52159999999,17702.6688,80320.63680000001,60463.584,27786.672,17266.2624,38733.2064,37319.0112,7880.967360000001,19378.224000000002,18935.5104
2002-09-01,16900.6176,46282.1472,8049.231360000001,8049.231360000001,61819.9776,16889.558399999998,25367.904,42405.033599999995,29381.529599999998,17387.9136,14675.472,15358.7232,7566.4627199999995,17982.3456,21988.8
2002-10-01,13690.7712,40495.1616,7488.6768,7488.6768,56616.451199999996,356264.352,10072.08,38053.584,26804.3904,15639.9552,5862.38688,7709.03136,6569.48448,15080.9472,20600.8704
2002-11-01,12994.646400000001,39012.624,7296.22944,7296.22944,54439.344,526473.216,7313.734079999999,36729.3312,26018.064,15189.6384,3759.0307199999997,5786.63136,6276.165120000001,14085.705600000001,20006.265600000002
2002-12-01,11963.5488,35742.9024,6674.840639999999,6674.840639999999,49293.1872,240047.712,6202.70784,33426.7776,23779.353600000002,13950.144,3217.1385600000003,5138.80416,5691.71232,12539.5776,18179.5968
2003-01-01,11387.52,33849.2736,6309.480960000001,6309.480960000001,46186.7616,164672.35199999998,5488.776,31470.2496,22461.6672,13250.822400000001,2991.79872,4857.15744,5343.390719999999,11566.540799999999,17072.3808
2003-02-01,11973.225600000002,35412.940800000004,6588.68256,6588.68256,47859.984,134540.352,5365.10304,32753.2032,23439.7152,13894.0704,3090.2947200000003,5077.3564799999995,5547.787200000001,11801.030400000001,17723.0592
2003-03-01,10218.096,30065.1264,5584.96512,5584.96512,40240.9728,98589.312,4233.54816,27651.6288,19847.0304,11807.1648,2587.6800000000003,4291.71264,4672.74528,9758.3616,14937.436800000001
2003-04-01,9930.2976,29053.0368,5392.03392,5392.03392,38481.3504,82943.3088,3783.4646399999997,26542.5984,19122.7392,11411.6256,2463.07392,4117.23648,4475.0016,9164.2752,14337.216
2003-05-01,9708.9408,26979.5232,4912.28928,4912.28928,34803.216,66073.536,10190.707199999999,24392.88,17270.5824,10500.192,6268.22496,4850.7119999999995,4029.93792,8097.39072,13380.4224
2003-06-01,9208.7712,25825.6512,4777.43616,4777.43616,33631.9776,57182.3712,4480.20288,23139.3024,16616.88,10149.9264,3236.06016,3851.16768,3852.0316799999996,7595.570879999999,13291.8624
2003-07-01,8330.256,23315.385599999998,4318.84224,4318.84224,30207.167999999998,46808.064,3516.48,20752.415999999997,14985.1296,9213.5232,2572.0416,3318.3216,3456.93312,6690.936959999999,12040.876800000002
2003-08-01,7819.16544,21793.6224,4035.93408,4035.93408,28040.7744,40202.2656,2619.81216,19255.3632,13974.5088,8633.35584,2054.22912,3014.46144,3205.93248,6093.58464,11215.0656
2003-09-01,7610.034239999999,21121.9488,3910.6022399999997,3910.6022399999997,26915.241599999998,36128.678400000004,2215.47744,18532.108799999998,13511.9232,8393.6304,1825.03584,2881.4140800000005,3079.7107199999996,5752.563840000001,10815.552000000001
2003-10-01,6972.7392,19279.6416,3567.68064,3567.68064,24325.2288,40969.6704,1871.5968,16807.996799999997,12306.9024,7690.74048,1611.36,2620.31328,2786.58144,5123.32128,9809.5104
2003-11-01,6856.5657599999995,18897.5808,3492.99648,3492.99648,23631.0912,41471.3088,1729.0627200000001,16387.1424,12040.963199999998,7575.8976,1551.2256000000002,2569.6569600000003,2710.16064,4913.66304,9548.6688
2003-12-01,6350.192639999999,17449.344,3221.80416,3221.80416,21632.486399999998,35278.0704,1522.4371199999998,15058.1376,11099.1168,7030.4198400000005,1416.7007999999998,2380.752,2483.784,4448.35584,8760.096
2004-01-01,6079.90752,16659.216,3072.19392,3072.19392,20497.7088,31321.6416,1388.7936000000002,14320.800000000001,10579.248,6743.61504,1339.8220800000001,2280.2428800000002,2356.57728,4171.61664,8313.9696
2004-02-01,6199.38144,16940.6208,3119.0918399999996,3119.0918399999996,20723.5584,29949.8688,1343.91744,14525.8272,10741.248,6883.7904,1348.58304,2319.71904,2386.2211199999997,4173.75936,8406.2448
2004-03-01,5505.48576,14996.6208,2755.14912,2755.14912,18392.659200000002,27160.703999999998,1260.11808,12980.9952,9491.126400000001,6119.513279999999,1282.08096,2044.28448,2124.4464,3675.5164800000002,7393.70592
2004-04-01,5376.76704,14598.2304,2680.39584,2680.39584,17935.603199999998,25661.8368,1034.76096,12602.563199999999,9221.472,5964.7968,1139.17536,1975.89024,2068.36416,3537.864,7160.831999999999
2004-05-01,4920.58368,13327.4592,2450.71008,2450.71008,16342.473600000001,22218.537600000003,906.06816,11780.380799999999,8406.90144,5444.1936,1037.8368,2064.16512,1884.17664,3180.2284799999998,6495.25824
2004-06-01,4793.46336,12968.3808,2389.6339199999998,2389.6339199999998,15909.091199999999,20669.1264,809.616384,11455.516800000001,8174.90016,5300.63136,982.3507199999999,1810.54656,1830.2025600000002,3051.2246400000004,6281.331840000001
2004-07-01,6799.68,17051.904000000002,2848.08096,2848.08096,20016.979199999998,18125.0784,30716.5824,22041.590399999997,10252.224,6580.3535999999995,19593.8784,19374.768,2371.92192,4278.0960000000005,7648.447679999999
2004-08-01,7789.547519999999,21058.4448,3693.54816,3693.54816,26253.4176,16526.9376,18786.9888,20836.7424,13268.9664,8127.03456,11435.472,12506.5728,2967.73632,5807.030400000001,9956.304
2004-09-01,8103.4992,22512.9888,4041.06624,4041.06624,27432.864,19592.2368,9562.9248,20077.8048,14409.5328,8714.649599999999,6361.96896,7985.50272,3110.55552,6152.46624,10895.472
